,Unnamed: 0,Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,TotalSF,TotalPorchSF,TotalBathrooms,HasBasement,HasGarage,HasPorch,HasPool,WasRemodeled,IsNew,WasCompleted,AfterWW2,Age,logPrice,PriceRange
10,1412,1413,90,RL,60.0,7200,2,0.0,1,4,4,Inside,3,NAmes,Norm,Norm,Duplex,1Story,4,5,1949,1950,Gable,CompShg,BrkFace,Stone,None,0.0,3,3,Slab,0.0,0,0.0,0.0,0,0.0,0,0,0,Wall,2,N,FuseF,1040,0,0,1040,0,0,2,0,2,2,3,6,8,0,0.0,Detchd,1956.0,1.0,2,420,3.0,3.0,3,0,0,0,0,0,0,0.0,0.0,Missing,0,6,2009,WD,Normal,90000,1040,0,2.0,0,1,0,0,1,0,1,1,59,11.407564949312404,Low
11,1436,1437,20,RL,60.0,9000,2,0.0,1,4,4,FR2,3,NAmes,Norm,Norm,1Fam,1Story,4,6,1971,1971,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,PConc,3.0,3,1.0,5.0,616,1.0,0,248,864,GasA,3,Y,SBrkr,864,0,0,864,0,0,1,0,3,1,3,5,8,0,0.0,Detchd,1974.0,1.0,2,528,3.0,3.0,3,0,0,0,0,0,0,0.0,3.0,Missing,0,5,2007,WD,Normal,120500,1728,0,1.0,1,1,0,0,0,0,1,1,36,11.699405031912846,Low
12,77,78,50,RM,50.0,8635,2,0.0,1,4,4,Inside,3,BrkSide,Norm,Norm,1Fam,1.5Fin,5,5,1948,2001,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3.0,3,1.0,4.0,336,6.0,41,295,672,GasA,3,Y,SBrkr,1072,213,0,1285,1,0,1,0,2,1,3,6,7,0,0.0,Detchd,1948.0,1.0,1,240,3.0,3.0,3,0,0,0,0,0,0,0.0,4.0,Missing,0,1,2008,WD,Normal,127000,1957,0,2.0,1,1,0,0,1,0,1,1,7,11.751942365440726,Low
13,537,538,20,RL,73.0,12735,2,0.0,2,4,4,FR2,3,NAmes,Norm,Norm,1Fam,1Story,4,5,1972,1972,Hip,CompShg,MetalSd,MetalSd,None,0.0,3,3,CBlock,3.0,3,1.0,4.0,600,1.0,0,264,864,GasA,3,Y,SBrkr,864,0,0,864,0,0,1,0,3,1,3,5,8,0,0.0,Detchd,1980.0,1.0,2,576,3.0,3.0,3,216,0,0,0,0,0,0.0,2.0,Missing,0,4,2008,COD,Normal,111250,1728,0,1.0,1,1,0,0,0,0,1,1,36,11.619535200028489,Low
14,146,147,30,RM,51.0,6120,2,0.0,1,4,4,Corner,3,BrkSide,Norm,Norm,1Fam,1Story,5,7,1931,1993,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,BrkTil,3.0,3,1.0,4.0,209,1.0,0,506,715,GasA,3,Y,FuseA,875,0,0,875,1,0,1,0,2,1,3,5,8,0,0.0,Detchd,1931.0,1.0,1,180,2.0,3.0,3,48,0,0,0,0,0,0.0,0.0,Missing,0,11,2009,WD,Normal,105000,1590,0,2.0,1,1,0,0,1,0,1,0,16,11.561715629139659,Low
15,442,443,50,RM,52.0,6240,2,0.0,1,4,4,Inside,3,BrkSide,Norm,Norm,1Fam,1.5Fin,5,7,1930,1992,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,PConc,3.0,3,1.0,1.0,0,1.0,0,1078,1078,GasA,3,Y,SBrkr,1128,445,0,1573,0,0,2,0,3,1,3,8,8,1,4.0,Detchd,1930.0,1.0,2,360,3.0,3.0,2,0,0,0,0,0,0,0.0,0.0,Missing,0,6,2008,WD,Normal,162900,2651,0,2.0,1,1,0,0,1,0,1,0,16,12.000891794590135,Low
16,1213,1214,80,RL,71.0,10246,2,0.0,2,4,4,CulDSac,3,Sawyer,Norm,Norm,1Fam,SLvl,4,9,1965,2001,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,CBlock,3.0,4,3.0,6.0,648,1.0,0,0,648,GasA,5,Y,SBrkr,960,0,0,960,1,1,0,0,0,1,3,3,8,0,0.0,Attchd,1965.0,1.0,1,364,3.0,3.0,3,88,0,0,0,0,0,0.0,0.0,Missing,0,5,2006,WD,Normal,145000,1608,0,1.5,1,1,0,0,1,0,1,1,5,11.884489021402711,Low
17,1199,1200,20,RL,75.0,11235,2,0.0,1,4,4,Inside,3,Sawyer,Norm,Norm,1Fam,1Story,4,5,1963,1979,Gable,CompShg,HdBoard,HdBoard,BrkFace,51.0,3,3,CBlock,3.0,3,1.0,3.0,547,1.0,0,504,1051,GasA,4,Y,SBrkr,1382,0,0,1382,0,0,1,1,3,1,3,6,8,1,1.0,Attchd,1974.0,1.0,2,459,3.0,3.0,3,0,82,0,0,0,0,0.0,0.0,Missing,0,10,2006,WD,Normal,148000,2433,82,1.5,1,1,1,0,1,0,1,1,27,11.904967552746253,Low
18,1163,1164,90,RL,60.0,12900,2,0.0,1,4,4,Inside,3,Sawyer,Feedr,Norm,Duplex,SFoyer,4,4,1969,1969,Gable,CompShg,Plywood,Plywood,None,0.0,3,3,CBlock,4.0,3,3.0,6.0,1198,1.0,0,0,1198,GasA,3,Y,SBrkr,1258,0,0,1258,2,0,0,2,0,2,3,6,8,0,0.0,CarPort,1969.0,1.0,2,400,2.0,3.0,3,120,0,0,0,0,0,0.0,0.0,Missing,0,1,2008,WD,Alloca,108959,2456,0,3.0,1,1,0,0,0,0,1,1,39,11.598726943661342,Low
19,867,868,20,RL,85.0,6970,2,0.0,1,4,4,Corner,3,Sawyer,Feedr,Norm,1Fam,1Story,4,5,1961,1961,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,CBlock,3.0,3,1.0,5.0,932,1.0,0,108,1040,GasA,3,Y,SBrkr,1120,0,0,1120,1,0,1,1,3,1,2,5,8,0,0.0,Attchd,1961.0,2.0,2,544,3.0,3.0,3,168,0,0,0,0,0,0.0,0.0,Shed,400,5,2007,WD,Normal,129000,2160,0,2.5,1,1,0,0,0,0,1,1,46,11.767567683343811,Low
20,835,836,20,RL,60.0,9600,2,0.0,1,4,4,Inside,3,Sawyer,Norm,Norm,1Fam,1Story,4,7,1950,1995,Gable,CompShg,VinylSd,HdBoard,None,0.0,3,3,CBlock,4.0,3,1.0,4.0,442,1.0,0,625,1067,GasA,3,Y,SBrkr,1067,0,0,1067,0,0,2,0,2,1,4,4,6,0,0.0,Attchd,1996.0,1.0,2,436,3.0,3.0,3,290,0,0,0,0,0,0.0,0.0,Missing,0,2,2010,WD,Normal,128000,2134,0,2.0,1,1,0,0,1,0,1,1,15,11.759785542901756,Low
21,609,610,20,RL,61.0,7943,2,0.0,1,4,4,Inside,3,Sawyer,Feedr,Norm,1Fam,1Story,4,5,1961,1961,Gable,CompShg,VinylSd,VinylSd,BrkCmn,192.0,3,2,CBlock,3.0,3,2.0,3.0,903,1.0,0,126,1029,GasA,4,Y,SBrkr,1029,0,0,1029,1,0,1,0,3,1,3,5,8,0,0.0,Attchd,1961.0,1.0,1,261,3.0,3.0,3,64,0,39,0,0,0,0.0,0.0,Missing,0,4,2007,WD,Normal,118500,2058,39,2.0,1,1,1,0,0,0,1,1,46,11.682668239557323,Low
22,405,406,20,RL,71.0,9991,2,0.0,2,4,4,Corner,3,Sawyer,Feedr,Norm,1Fam,1Story,4,4,1976,1993,Gable,CompShg,Plywood,Plywood,None,0.0,3,3,CBlock,3.0,3,1.0,4.0,1116,1.0,0,165,1281,GasA,5,Y,SBrkr,1620,0,0,1620,1,0,2,0,3,1,3,8,7,1,3.0,Attchd,1993.0,1.0,2,490,3.0,3.0,3,120,78,0,0,0,0,0.0,3.0,Missing,0,6,2009,WD,Normal,150000,2901,78,3.0,1,1,1,0,1,0,1,1,16,11.918390573078392,Low
23,78,79,90,RL,72.0,10778,2,0.0,1,4,4,Inside,3,Sawyer,Norm,Norm,Duplex,1Story,4,5,1968,1968,Hip,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,3.0,3,1.0,1.0,0,1.0,0,1768,1768,GasA,3,N,SBrkr,1768,0,0,1768,0,0,2,0,4,2,3,8,8,0,0.0,Missing,0.0,0.0,0,0,0.0,0.0,3,0,0,0,0,0,0,0.0,0.0,Missing,0,4,2010,WD,Normal,136500,3536,0,2.0,1,0,0,0,0,0,1,1,42,11.824079893607152,Low
24,17,18,90,RL,72.0,10791,2,0.0,1,4,4,Inside,3,Sawyer,Norm,Norm,Duplex,1Story,4,5,1967,1967,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,Slab,0.0,0,0.0,0.0,0,0.0,0,0,0,GasA,3,Y,SBrkr,1296,0,0,1296,0,0,2,0,2,2,3,6,8,0,0.0,CarPort,1967.0,1.0,2,516,3.0,3.0,3,0,0,0,0,0,0,0.0,0.0,Shed,500,10,2006,WD,Normal,90000,1296,0,2.0,0,1,0,0,0,0,1,1,39,11.407564949312404,Low
25,15,16,45,RM,51.0,6120,2,0.0,1,4,4,Corner,3,BrkSide,Norm,Norm,1Fam,1.5Unf,7,8,1929,2001,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,BrkTil,3.0,3,1.0,1.0,0,1.0,0,832,832,GasA,5,Y,FuseA,854,0,0,854,0,0,1,0,2,1,3,5,8,0,0.0,Detchd,1991.0,1.0,2,576,3.0,3.0,3,48,112,0,0,0,0,0.0,5.0,Missing,0,7,2007,WD,Normal,132000,1686,112,1.0,1,1,1,0,1,0,1,0,6,11.790557201568507,Low
26,555,556,45,RM,58.0,6380,2,0.0,1,4,4,Inside,3,BrkSide,Norm,Norm,1Fam,1.5Unf,5,6,1922,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,BrkTil,3.0,2,1.0,1.0,0,1.0,0,993,993,GasA,3,Y,FuseA,1048,0,0,1048,0,0,1,0,2,1,3,5,8,1,4.0,Detchd,1922.0,1.0,1,280,3.0,3.0,3,0,0,116,0,0,0,0.0,0.0,Missing,0,8,2006,WD,Normal,113000,2041,116,1.0,1,1,1,0,1,0,1,0,56,11.635143097694476,Low
27,149,150,50,RM,52.0,6240,2,0.0,1,4,4,Inside,3,BrkSide,Norm,Norm,1Fam,1.5Fin,5,4,1936,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,BrkTil,4.0,3,1.0,1.0,0,1.0,0,896,896,GasA,4,Y,FuseA,896,448,0,1344,0,0,1,0,3,1,3,7,8,0,0.0,Detchd,1936.0,1.0,1,240,2.0,3.0,3,200,114,0,0,0,0,0.0,0.0,Missing,0,4,2006,WD,Normal,115000,2240,114,1.0,1,1,1,0,1,0,1,0,56,11.652687407345386,Low
28,589,590,40,RM,50.0,9100,2,0.0,1,4,4,Inside,3,BrkSide,RRAn,Feedr,1Fam,1Story,5,6,1930,1960,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,BrkTil,3.0,3,1.0,1.0,0,1.0,0,742,742,GasA,3,Y,FuseA,779,0,156,935,0,0,1,0,2,1,3,4,8,0,0.0,Detchd,1988.0,1.0,1,308,3.0,3.0,2,0,0,0,0,0,0,0.0,0.0,Shed,600,8,2008,WD,Normal,79500,1677,0,1.0,1,1,0,0,1,0,1,0,48,11.283512300642426,Low
29,427,428,20,RL,77.0,8593,2,0.0,2,4,4,Inside,3,NAmes,Norm,Norm,1Fam,1Story,4,6,1957,1957,Hip,CompShg,MetalSd,MetalSd,None,0.0,3,3,CBlock,3.0,3,1.0,3.0,288,1.0,0,619,907,GasA,5,Y,SBrkr,907,0,0,907,0,0,1,0,3,1,3,5,8,0,0.0,Detchd,1964.0,1.0,1,352,3.0,3.0,3,0,0,0,0,0,0,0.0,0.0,Missing,0,7,2008,WD,Normal,109008,1814,0,1.0,1,1,0,0,0,0,1,1,51,11.599176553013448,Low
30,223,224,20,RL,70.0,10500,2,0.0,1,4,4,FR2,3,NAmes,Norm,Norm,1Fam,1Story,4,6,1971,1971,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,3.0,3,1.0,5.0,524,2.0,180,160,864,GasA,4,Y,SBrkr,864,0,0,864,0,0,1,0,2,1,3,4,8,0,0.0,Detchd,1989.0,1.0,2,576,3.0,3.0,3,216,0,0,0,0,0,0.0,0.0,Missing,0,3,2009,WD,Abnorml,97000,1728,0,1.0,1,1,0,0,0,0,1,1,38,11.482466257485518,Low
31,193,194,160,RM,24.0,2522,2,0.0,1,4,4,Inside,3,Edwards,Norm,Norm,Twnhs,2Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,Stone,50.0,4,3,PConc,4.0,3,1.0,1.0,0,1.0,0,970,970,GasA,5,Y,SBrkr,970,739,0,1709,0,0,2,0,3,1,4,7,4,0,0.0,Detchd,2004.0,1.0,2,380,3.0,3.0,3,0,40,0,0,0,0,0.0,0.0,Missing,0,5,2006,WD,Normal,130000,2679,40,2.0,1,1,1,0,0,1,1,1,2,11.77528972943772,Low
32,1183,1184,30,RL,60.0,10800,2,1.0,1,4,4,Inside,3,OldTown,Norm,Norm,1Fam,1Story,5,6,1920,1950,Hip,CompShg,Stucco,Stucco,None,0.0,3,3,BrkTil,3.0,3,1.0,3.0,821,1.0,0,299,1120,GasA,5,Y,SBrkr,1130,0,0,1130,1,0,1,0,2,1,3,5,8,1,4.0,Detchd,1970.0,1.0,2,720,3.0,3.0,3,229,0,0,0,0,0,0.0,0.0,Missing,0,6,2006,WD,Normal,120000,2250,0,2.0,1,1,0,0,1,0,1,0,56,11.695247021764185,Low
33,1114,1115,20,RL,90.0,5400,2,0.0,1,4,4,Inside,3,OldTown,Norm,Norm,1Fam,1Story,5,7,1954,2000,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,4,CBlock,3.0,3,1.0,3.0,415,1.0,0,418,833,GasA,5,Y,SBrkr,833,0,0,833,0,0,1,0,2,1,4,4,8,0,0.0,Detchd,1955.0,1.0,1,326,3.0,3.0,3,0,0,0,0,0,0,0.0,4.0,Missing,0,8,2006,WD,Normal,117000,1666,0,1.0,1,1,0,0,1,0,1,1,6,11.669929213779893,Low
34,1076,1077,50,RL,60.0,10800,2,1.0,1,4,4,Inside,3,OldTown,Norm,Norm,1Fam,1.5Fin,5,8,1936,1989,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,2.0,3,1.0,5.0,626,1.0,0,170,796,GasA,4,Y,SBrkr,1096,370,0,1466,0,1,2,0,3,1,4,7,7,1,3.0,Attchd,1950.0,1.0,2,566,3.0,3.0,3,436,21,0,0,0,0,0.0,0.0,Shed,500,4,2006,WD,Normal,170000,2262,21,2.5,1,1,1,0,1,0,1,0,17,12.0435537160324,Low
35,1001,1002,30,RL,60.0,5400,2,0.0,1,4,4,Corner,3,OldTown,Norm,Norm,1Fam,1Story,5,6,1920,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,BrkTil,2.0,3,1.0,1.0,0,1.0,0,691,691,GasA,5,Y,FuseA,691,0,0,691,0,0,1,0,2,1,5,4,8,0,0.0,Detchd,1920.0,1.0,1,216,2.0,3.0,1,0,20,94,0,0,0,0.0,0.0,Missing,0,1,2007,WD,Abnorml,86000,1382,114,1.0,1,1,1,0,1,0,1,0,57,11.362102575235644,Low
36,693,694,30,RL,60.0,5400,2,0.0,1,4,4,Corner,1,OldTown,Norm,Norm,1Fam,1Story,5,6,1921,1968,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,BrkTil,3.0,3,1.0,1.0,0,1.0,0,1073,1073,GasA,5,Y,SBrkr,1073,0,0,1073,0,0,1,0,2,1,3,4,8,0,0.0,Detchd,1968.0,1.0,1,326,3.0,3.0,3,0,0,112,0,0,0,0.0,0.0,Missing,0,12,2006,WD,Abnorml,108480,2146,112,1.0,1,1,1,0,1,0,1,0,38,11.594321103174222,Low
37,677,678,30,RL,52.0,9022,2,0.0,1,4,4,Inside,3,OldTown,Norm,Norm,1Fam,1Story,5,8,1924,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,BrkTil,3.0,3,1.0,1.0,0,1.0,0,768,768,GasA,5,Y,SBrkr,792,0,0,792,0,0,1,0,2,1,4,5,8,0,0.0,Detchd,1924.0,1.0,1,240,2.0,2.0,1,316,0,120,0,0,0,0.0,0.0,Missing,0,5,2009,WD,Normal,109500,1560,120,1.0,1,1,1,0,1,0,1,0,3,11.603679828238691,Low
38,74,75,50,RM,60.0,5790,2,0.0,1,4,4,Corner,3,OldTown,Norm,Norm,1Fam,2Story,3,6,1915,1950,Gambrel,CompShg,VinylSd,VinylSd,None,0.0,4,4,CBlock,2.0,3,1.0,1.0,0,1.0,0,840,840,GasA,4,N,SBrkr,840,765,0,1605,0,0,2,0,3,2,3,8,8,0,0.0,Detchd,1915.0,1.0,1,379,3.0,3.0,3,0,0,202,0,0,0,0.0,0.0,Missing,0,5,2010,WD,Normal,107400,2445,202,2.0,1,1,1,0,1,0,1,0,60,11.5843154610569,Low
39,323,324,20,RM,49.0,5820,2,0.0,1,4,4,Inside,3,OldTown,Norm,Norm,1Fam,1Story,3,8,1955,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,CBlock,3.0,3,1.0,5.0,256,1.0,0,906,1162,GasA,5,Y,SBrkr,1163,0,0,1163,1,0,1,0,3,1,3,6,8,0,0.0,Attchd,1955.0,1.0,1,220,2.0,3.0,3,142,98,0,0,0,0,0.0,0.0,Missing,0,7,2006,WD,Normal,126175,2325,98,2.0,1,1,1,0,1,0,1,1,1,11.745425111208466,Low
40,449,450,50,RM,50.0,6000,2,0.0,1,4,4,Inside,3,OldTown,Norm,Norm,1Fam,1.5Fin,3,7,1948,2002,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,4,CBlock,3.0,3,1.0,5.0,331,1.0,0,318,649,GasA,5,Y,SBrkr,679,504,0,1183,0,0,1,1,2,1,3,6,8,0,0.0,Detchd,1981.0,1.0,1,308,3.0,3.0,3,0,176,0,0,0,0,0.0,0.0,Missing,0,6,2007,WD,Normal,120000,1832,176,1.5,1,1,1,0,1,0,1,1,5,11.695247021764185,Low
41,968,969,50,RM,50.0,5925,2,0.0,1,4,4,Inside,3,OldTown,Norm,Norm,1Fam,1.5Fin,3,6,1910,1950,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,BrkTil,3.0,3,1.0,1.0,0,1.0,0,600,600,Grav,2,N,SBrkr,600,368,0,968,0,0,1,0,2,1,3,6,8,0,0.0,Missing,0.0,0.0,0,0,0.0,0.0,3,0,0,0,0,0,0,0.0,3.0,Missing,0,5,2009,WD,Abnorml,37900,1568,0,1.0,1,0,0,0,1,0,1,0,59,10.542706391070515,Low
42,75,76,180,RM,21.0,1596,2,0.0,1,4,4,Inside,3,MeadowV,Norm,Norm,Twnhs,SLvl,4,5,1973,1973,Gable,CompShg,CemntBd,CmentBd,None,0.0,3,3,CBlock,4.0,3,4.0,6.0,462,1.0,0,0,462,GasA,3,Y,SBrkr,526,462,0,988,1,0,1,0,2,1,3,5,8,0,0.0,BuiltIn,1973.0,1.0,1,297,3.0,3.0,3,120,101,0,0,0,0,0.0,3.0,Missing,0,11,2009,WD,Normal,91000,1450,101,2.0,1,1,1,0,0,0,1,1,36,11.418614785498988,Low
43,287,288,20,RL,73.0,8125,2,0.0,2,4,4,Corner,3,NAmes,Norm,Norm,1Fam,1Story,4,4,1971,1971,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,3.0,3,1.0,4.0,614,1.0,0,244,858,GasA,3,Y,SBrkr,858,0,0,858,0,0,1,0,3,1,3,5,8,0,0.0,Missing,0.0,0.0,0,0,0.0,0.0,3,0,0,0,0,0,0,0.0,0.0,Missing,0,6,2006,WD,Normal,88000,1716,0,1.0,1,0,0,0,0,0,1,1,35,11.385092093460345,Low
