,Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,TotalSF,TotalFloorSF,TotalPorchSF,TotalBathrooms,HasBasement,HasGarage,HasPorch,HasPool,WasRemodeled,IsNew,WasCompleted,AfterWW2
10,11,20,RL,70.0,11200,2,0.0,1,4,4,Inside,3,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,3.0,3,1.0,3.0,906,1.0,0,134,1040,GasA,5,Y,SBrkr,1040,0,0,1040,1,0,1,0,3,1,3,5,8,0,0.0,Detchd,1965.0,1.0,1,384,3.0,3.0,3,0,0,0,0,0,0,0.0,0.0,Missing,0,2,2008,WD,Normal,129500,2080,1040,0,2.0,1,1,0,0,0,0,1,1
11,12,60,RL,85.0,11924,2,0.0,2,4,4,Inside,3,NridgHt,Norm,Norm,1Fam,2Story,9,5,2005,2006,Hip,CompShg,WdShing,Wd Shng,Stone,286.0,5,3,PConc,5.0,3,1.0,6.0,998,1.0,0,177,1175,GasA,5,Y,SBrkr,1182,1142,0,2324,1,0,3,0,4,1,5,11,8,2,4.0,BuiltIn,2005.0,3.0,3,736,3.0,3.0,3,147,21,0,0,0,0,0.0,0.0,Missing,0,7,2006,New,Partial,345000,3499,2324,21,4.0,1,1,1,0,1,1,0,1
12,13,20,RL,71.0,12968,2,0.0,3,4,4,Inside,3,Sawyer,Norm,Norm,1Fam,1Story,5,6,1962,1962,Hip,CompShg,HdBoard,Plywood,None,0.0,3,3,CBlock,3.0,3,1.0,5.0,737,1.0,0,175,912,GasA,3,Y,SBrkr,912,0,0,912,1,0,1,0,2,1,3,4,8,0,0.0,Detchd,1962.0,1.0,1,352,3.0,3.0,3,140,0,0,0,176,0,0.0,0.0,Missing,0,9,2008,WD,Normal,144000,1824,912,176,2.0,1,1,1,0,0,0,1,1
13,14,20,RL,91.0,10652,2,0.0,2,4,4,Inside,3,CollgCr,Norm,Norm,1Fam,1Story,7,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,306.0,4,3,PConc,4.0,3,3.0,1.0,0,1.0,0,1494,1494,GasA,5,Y,SBrkr,1494,0,0,1494,0,0,2,0,3,1,4,7,8,1,4.0,Attchd,2006.0,2.0,3,840,3.0,3.0,3,160,33,0,0,0,0,0.0,0.0,Missing,0,8,2007,New,Partial,279500,2988,1494,33,2.0,1,1,1,0,1,1,0,1
14,15,20,RL,73.0,10920,2,0.0,2,4,4,Corner,3,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,1960,Hip,CompShg,MetalSd,MetalSd,BrkFace,212.0,3,3,CBlock,3.0,3,1.0,4.0,733,1.0,0,520,1253,GasA,3,Y,SBrkr,1253,0,0,1253,1,0,1,1,2,1,3,5,8,1,2.0,Attchd,1960.0,2.0,1,352,3.0,3.0,3,0,213,176,0,0,0,0.0,3.0,Missing,0,5,2008,WD,Normal,157000,2506,1253,389,2.5,1,1,1,0,0,0,1,1
15,16,45,RM,51.0,6120,2,0.0,1,4,4,Corner,3,BrkSide,Norm,Norm,1Fam,1.5Unf,7,8,1929,2001,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,BrkTil,3.0,3,1.0,1.0,0,1.0,0,832,832,GasA,5,Y,FuseA,854,0,0,854,0,0,1,0,2,1,3,5,8,0,0.0,Detchd,1991.0,1.0,2,576,3.0,3.0,3,48,112,0,0,0,0,0.0,5.0,Missing,0,7,2007,WD,Normal,132000,1686,854,112,1.0,1,1,1,0,1,0,1,0
16,17,20,RL,73.0,11241,2,0.0,2,4,4,CulDSac,3,NAmes,Norm,Norm,1Fam,1Story,6,7,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180.0,3,3,CBlock,3.0,3,1.0,5.0,578,1.0,0,426,1004,GasA,5,Y,SBrkr,1004,0,0,1004,1,0,1,0,2,1,3,5,8,1,3.0,Attchd,1970.0,3.0,2,480,3.0,3.0,3,0,0,0,0,0,0,0.0,0.0,Shed,700,3,2010,WD,Normal,149000,2008,1004,0,2.0,1,1,0,0,0,0,1,1
17,18,90,RL,72.0,10791,2,0.0,1,4,4,Inside,3,Sawyer,Norm,Norm,Duplex,1Story,4,5,1967,1967,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,Slab,0.0,0,0.0,0.0,0,0.0,0,0,0,GasA,3,Y,SBrkr,1296,0,0,1296,0,0,2,0,2,2,3,6,8,0,0.0,CarPort,1967.0,1.0,2,516,3.0,3.0,3,0,0,0,0,0,0,0.0,0.0,Shed,500,10,2006,WD,Normal,90000,1296,1296,0,2.0,0,1,0,0,0,0,1,1
18,19,20,RL,66.0,13695,2,0.0,1,4,4,Inside,3,SawyerW,RRAe,Norm,1Fam,1Story,5,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,3.0,3,1.0,6.0,646,1.0,0,468,1114,GasA,5,Y,SBrkr,1114,0,0,1114,1,0,1,1,3,1,4,6,8,0,0.0,Detchd,2004.0,1.0,2,576,3.0,3.0,3,0,102,0,0,0,0,0.0,0.0,Missing,0,6,2008,WD,Normal,159000,2228,1114,102,2.5,1,1,1,0,0,1,1,1
19,20,20,RL,70.0,7560,2,0.0,1,4,4,Inside,3,NAmes,Norm,Norm,1Fam,1Story,5,6,1958,1965,Hip,CompShg,BrkFace,Plywood,None,0.0,3,3,CBlock,3.0,3,1.0,2.0,504,1.0,0,525,1029,GasA,3,Y,SBrkr,1339,0,0,1339,0,0,1,0,3,1,3,6,7,0,0.0,Attchd,1958.0,1.0,1,294,3.0,3.0,3,0,0,0,0,0,0,0.0,4.0,Missing,0,5,2009,COD,Abnorml,139000,2368,1339,0,1.0,1,1,0,0,1,0,1,1
20,21,60,RL,101.0,14215,2,0.0,2,4,4,Corner,3,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,380.0,4,3,PConc,5.0,3,3.0,1.0,0,1.0,0,1158,1158,GasA,5,Y,SBrkr,1158,1218,0,2376,0,0,3,1,4,1,4,9,8,1,4.0,BuiltIn,2005.0,2.0,3,853,3.0,3.0,3,240,154,0,0,0,0,0.0,0.0,Missing,0,11,2006,New,Partial,325300,3534,2376,154,3.5,1,1,1,0,1,1,0,1
21,22,45,RM,57.0,7449,2,1.0,1,3,4,Inside,3,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7,1930,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,PConc,3.0,3,1.0,1.0,0,1.0,0,637,637,GasA,5,Y,FuseF,1108,0,0,1108,0,0,1,0,3,1,4,6,8,1,4.0,Attchd,1930.0,1.0,1,280,3.0,3.0,1,0,0,205,0,0,0,0.0,5.0,Missing,0,6,2007,WD,Normal,139400,1745,1108,205,1.0,1,1,1,0,1,0,1,0
22,23,20,RL,75.0,9742,2,0.0,1,4,4,Inside,3,CollgCr,Norm,Norm,1Fam,1Story,8,5,2002,2002,Hip,CompShg,VinylSd,VinylSd,BrkFace,281.0,4,3,PConc,4.0,3,1.0,1.0,0,1.0,0,1777,1777,GasA,5,Y,SBrkr,1795,0,0,1795,0,0,2,0,3,1,4,7,8,1,4.0,Attchd,2002.0,2.0,2,534,3.0,3.0,3,171,159,0,0,0,0,0.0,0.0,Missing,0,9,2008,WD,Normal,230000,3572,1795,159,2.0,1,1,1,0,0,1,1,1
23,24,120,RM,44.0,4224,2,0.0,1,4,4,Inside,3,MeadowV,Norm,Norm,TwnhsE,1Story,5,7,1976,1976,Gable,CompShg,CemntBd,CmentBd,None,0.0,3,3,PConc,4.0,3,1.0,6.0,840,1.0,0,200,1040,GasA,3,Y,SBrkr,1060,0,0,1060,1,0,1,0,3,1,3,6,8,1,3.0,Attchd,1976.0,1.0,2,572,3.0,3.0,3,100,110,0,0,0,0,0.0,0.0,Missing,0,6,2007,WD,Normal,129900,2100,1060,110,2.0,1,1,1,0,0,0,1,1
24,25,20,RL,71.0,8246,2,0.0,2,4,4,Inside,3,Sawyer,Norm,Norm,1Fam,1Story,5,8,1968,2001,Gable,CompShg,Plywood,Plywood,None,0.0,3,4,CBlock,3.0,3,2.0,3.0,188,5.0,668,204,1060,GasA,5,Y,SBrkr,1060,0,0,1060,1,0,1,0,3,1,4,6,8,1,3.0,Attchd,1968.0,1.0,1,270,3.0,3.0,3,406,90,0,0,0,0,0.0,4.0,Missing,0,5,2010,WD,Normal,154000,2120,1060,90,2.0,1,1,1,0,1,0,1,1
25,26,20,RL,110.0,14230,2,0.0,1,4,4,Corner,3,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,Stone,640.0,4,3,PConc,4.0,3,1.0,1.0,0,1.0,0,1566,1566,GasA,5,Y,SBrkr,1600,0,0,1600,0,0,2,0,3,1,4,7,8,1,4.0,Attchd,2007.0,2.0,3,890,3.0,3.0,3,0,56,0,0,0,0,0.0,0.0,Missing,0,7,2009,WD,Normal,256300,3166,1600,56,2.0,1,1,1,0,0,1,1,1
26,27,20,RL,60.0,7200,2,0.0,1,4,4,Corner,3,NAmes,Norm,Norm,1Fam,1Story,5,7,1951,2000,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3.0,3,2.0,4.0,234,3.0,486,180,900,GasA,3,Y,SBrkr,900,0,0,900,0,1,1,0,3,1,4,5,8,0,0.0,Detchd,2005.0,1.0,2,576,3.0,3.0,3,222,32,0,0,0,0,0.0,0.0,Missing,0,5,2010,WD,Normal,134800,1800,900,32,1.5,1,1,1,0,1,0,1,1
27,28,20,RL,98.0,11478,2,0.0,1,4,4,Inside,3,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,200.0,4,3,PConc,5.0,3,1.0,6.0,1218,1.0,0,486,1704,GasA,5,Y,SBrkr,1704,0,0,1704,1,0,2,0,3,1,4,7,8,1,4.0,Attchd,2008.0,2.0,3,772,3.0,3.0,3,0,50,0,0,0,0,0.0,0.0,Missing,0,5,2010,WD,Normal,306000,3408,1704,50,3.0,1,1,1,0,1,1,1,1
28,29,20,RL,47.0,16321,2,0.0,2,4,4,CulDSac,3,NAmes,Norm,Norm,1Fam,1Story,5,6,1957,1997,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,CBlock,3.0,3,4.0,4.0,1277,1.0,0,207,1484,GasA,3,Y,SBrkr,1600,0,0,1600,1,0,1,0,2,1,3,6,8,2,4.0,Attchd,1957.0,2.0,1,319,3.0,3.0,3,288,258,0,0,0,0,0.0,0.0,Missing,0,12,2006,WD,Normal,207500,3084,1600,258,2.0,1,1,1,0,1,0,1,1
29,30,30,RM,60.0,6324,2,0.0,2,4,4,Inside,3,BrkSide,Feedr,RRNn,1Fam,1Story,4,6,1927,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,BrkTil,3.0,3,1.0,1.0,0,1.0,0,520,520,GasA,2,N,SBrkr,520,0,0,520,0,0,1,0,1,1,2,4,8,0,0.0,Detchd,1920.0,1.0,1,240,2.0,3.0,3,49,0,87,0,0,0,0.0,0.0,Missing,0,5,2008,WD,Normal,68500,1040,520,87,1.0,1,1,1,0,1,0,1,0
30,31,70,C (all),50.0,8500,2,2.0,1,4,4,Inside,3,IDOTRR,Feedr,Norm,1Fam,2Story,4,4,1920,1950,Gambrel,CompShg,BrkFace,BrkFace,None,0.0,3,2,BrkTil,3.0,3,1.0,1.0,0,1.0,0,649,649,GasA,3,N,SBrkr,649,668,0,1317,0,0,1,0,3,1,3,6,8,0,0.0,Detchd,1920.0,1.0,1,250,3.0,2.0,1,0,54,172,0,0,0,0.0,4.0,Missing,0,7,2008,WD,Normal,40000,1966,1317,226,1.0,1,1,1,0,1,0,1,0
31,32,20,RL,71.0,8544,2,0.0,2,4,4,CulDSac,3,Sawyer,Norm,Norm,1Fam,1Story,5,6,1966,2006,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,3.0,3,1.0,1.0,0,1.0,0,1228,1228,GasA,4,Y,SBrkr,1228,0,0,1228,0,0,1,1,3,1,4,6,8,0,0.0,Attchd,1966.0,1.0,1,271,3.0,3.0,3,0,65,0,0,0,0,0.0,4.0,Missing,0,6,2008,WD,Normal,149350,2456,1228,65,1.5,1,1,1,0,1,0,1,1
32,33,20,RL,85.0,11049,2,0.0,1,4,4,Corner,3,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,5.0,3,3.0,1.0,0,1.0,0,1234,1234,GasA,5,Y,SBrkr,1234,0,0,1234,0,0,2,0,3,1,4,7,8,0,0.0,Attchd,2007.0,2.0,2,484,3.0,3.0,3,0,30,0,0,0,0,0.0,0.0,Missing,0,1,2008,WD,Normal,179900,2468,1234,30,2.0,1,1,1,0,0,1,1,1
33,34,20,RL,70.0,10552,2,0.0,2,4,4,Inside,3,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,BrkFace,BrkFace,None,0.0,3,3,CBlock,3.0,3,1.0,3.0,1018,1.0,0,380,1398,GasA,4,Y,SBrkr,1700,0,0,1700,0,1,1,1,4,1,4,6,8,1,4.0,Attchd,1959.0,2.0,2,447,3.0,3.0,3,0,38,0,0,0,0,0.0,0.0,Missing,0,4,2010,WD,Normal,165500,3098,1700,38,2.0,1,1,1,0,0,0,1,1
34,35,120,RL,60.0,7313,2,0.0,1,4,4,Inside,3,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,246.0,5,3,PConc,5.0,3,1.0,6.0,1153,1.0,0,408,1561,GasA,5,Y,SBrkr,1561,0,0,1561,1,0,2,0,2,1,5,6,8,1,4.0,Attchd,2005.0,3.0,2,556,3.0,3.0,3,203,47,0,0,0,0,0.0,0.0,Missing,0,8,2007,WD,Normal,277500,3122,1561,47,3.0,1,1,1,0,0,1,1,1
35,36,60,RL,108.0,13418,2,0.0,1,4,4,Inside,3,NridgHt,Norm,Norm,1Fam,2Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,132.0,4,3,PConc,5.0,3,3.0,1.0,0,1.0,0,1117,1117,GasA,5,Y,SBrkr,1132,1320,0,2452,0,0,3,1,4,1,4,9,8,1,4.0,BuiltIn,2004.0,3.0,3,691,3.0,3.0,3,113,32,0,0,0,0,0.0,0.0,Missing,0,9,2006,WD,Normal,309000,3569,2452,32,3.5,1,1,1,0,1,1,1,1
36,37,20,RL,112.0,10859,2,0.0,1,4,4,Corner,3,CollgCr,Norm,Norm,1Fam,1Story,5,5,1994,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,4.0,3,1.0,1.0,0,1.0,0,1097,1097,GasA,5,Y,SBrkr,1097,0,0,1097,0,0,1,1,3,1,3,6,8,0,0.0,Attchd,1995.0,1.0,2,672,3.0,3.0,3,392,64,0,0,0,0,0.0,0.0,Missing,0,6,2009,WD,Normal,145000,2194,1097,64,1.5,1,1,1,0,1,0,1,1
37,38,20,RL,74.0,8532,2,0.0,1,4,4,Inside,3,NAmes,Norm,Norm,1Fam,1Story,5,6,1954,1990,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,650.0,3,3,CBlock,3.0,3,1.0,3.0,1213,1.0,0,84,1297,GasA,4,Y,SBrkr,1297,0,0,1297,0,1,1,0,3,1,3,5,8,1,3.0,Attchd,1954.0,3.0,2,498,3.0,3.0,3,0,0,0,0,0,0,0.0,0.0,Missing,0,10,2009,WD,Normal,153000,2594,1297,0,1.5,1,1,0,0,1,0,1,1
38,39,20,RL,68.0,7922,2,0.0,1,4,4,Inside,3,NAmes,Norm,Norm,1Fam,1Story,5,7,1953,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,CBlock,3.0,3,1.0,6.0,731,1.0,0,326,1057,GasA,3,Y,SBrkr,1057,0,0,1057,1,0,1,0,3,1,4,5,8,0,0.0,Detchd,1953.0,1.0,1,246,3.0,3.0,3,0,52,0,0,0,0,0.0,0.0,Missing,0,1,2010,WD,Abnorml,109000,2114,1057,52,2.0,1,1,1,0,1,0,1,1
39,40,90,RL,65.0,6040,2,0.0,1,4,4,Inside,3,Edwards,Norm,Norm,Duplex,1Story,4,5,1955,1955,Gable,CompShg,AsbShng,Plywood,None,0.0,3,3,PConc,0.0,0,0.0,0.0,0,0.0,0,0,0,GasA,3,N,FuseP,1152,0,0,1152,0,0,2,0,2,2,2,6,8,0,0.0,Missing,0.0,0.0,0,0,0.0,0.0,1,0,0,0,0,0,0,0.0,0.0,Missing,0,6,2008,WD,AdjLand,82000,1152,1152,0,2.0,0,0,0,0,0,0,1,1
40,41,20,RL,84.0,8658,2,0.0,1,4,4,Inside,3,NAmes,Norm,Norm,1Fam,1Story,6,5,1965,1965,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,101.0,3,3,CBlock,3.0,3,1.0,3.0,643,1.0,0,445,1088,GasA,5,Y,SBrkr,1324,0,0,1324,0,0,2,0,3,1,3,6,8,1,3.0,Attchd,1965.0,2.0,2,440,3.0,3.0,3,0,138,0,0,0,0,0.0,3.0,Missing,0,12,2006,WD,Abnorml,160000,2412,1324,138,2.0,1,1,1,0,0,0,1,1
41,42,20,RL,115.0,16905,2,0.0,1,4,4,Inside,3,Timber,Norm,Norm,1Fam,1Story,5,6,1959,1959,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,CBlock,3.0,3,4.0,4.0,967,1.0,0,383,1350,GasA,4,Y,SBrkr,1328,0,0,1328,0,1,1,1,2,1,3,5,8,2,4.0,Attchd,1959.0,2.0,1,308,3.0,3.0,2,0,104,0,0,0,0,0.0,0.0,Missing,0,7,2007,WD,Normal,170000,2678,1328,104,2.0,1,1,1,0,0,0,1,1
42,43,85,RL,66.5,9180,2,0.0,2,4,4,CulDSac,3,SawyerW,Norm,Norm,1Fam,SFoyer,5,7,1983,1983,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,4.0,3,3.0,5.0,747,2.0,93,0,840,GasA,4,Y,SBrkr,884,0,0,884,1,0,1,0,2,1,4,5,8,0,0.0,Attchd,1983.0,2.0,2,504,3.0,4.0,3,240,0,0,0,0,0,0.0,4.0,Missing,0,12,2007,WD,Normal,144000,1724,884,0,2.0,1,1,0,0,0,0,1,1
43,44,20,RL,70.0,9200,2,0.0,2,4,4,CulDSac,3,CollgCr,Norm,Norm,1Fam,1Story,5,6,1975,1980,Hip,CompShg,VinylSd,VinylSd,None,0.0,3,3,CBlock,4.0,3,3.0,2.0,280,4.0,491,167,938,GasA,3,Y,SBrkr,938,0,0,938,1,0,1,0,3,1,3,5,8,0,0.0,Detchd,1977.0,1.0,1,308,3.0,3.0,3,145,0,0,0,0,0,0.0,4.0,Missing,0,7,2008,WD,Normal,130250,1876,938,0,2.0,1,1,0,0,1,0,1,1
44,45,20,RL,70.0,7945,2,0.0,1,4,4,Inside,3,NAmes,Norm,Norm,1Fam,1Story,5,6,1959,1959,Gable,CompShg,BrkFace,Wd Sdng,None,0.0,3,3,CBlock,3.0,3,1.0,5.0,179,4.0,506,465,1150,GasA,5,Y,FuseA,1150,0,0,1150,1,0,1,0,3,1,3,6,8,0,0.0,Attchd,1959.0,2.0,1,300,3.0,3.0,3,0,0,0,0,0,0,0.0,0.0,Missing,0,5,2006,WD,Normal,141000,2300,1150,0,2.0,1,1,0,0,0,0,1,1
